steps: 49500, lr: 5.69e-04, avg_loss: 3.53, run_time: 1.02e+02
steps: 50000, lr: 5.66e-04, avg_loss: 3.53, run_time: 1.02e+02
steps: 50500, lr: 5.63e-04, avg_loss: 3.53, run_time: 1.02e+02
steps: 51000, lr: 5.60e-04, avg_loss: 3.53, run_time: 1.03e+02
steps: 51500, lr: 5.57e-04, avg_loss: 3.53, run_time: 1.02e+02
steps: 52000, lr: 5.55e-04, avg_loss: 3.53, run_time: 1.03e+02
steps: 52500, lr: 5.52e-04, avg_loss: 3.53, run_time: 1.02e+02
steps: 53000, lr: 5.49e-04, avg_loss: 3.53, run_time: 1.03e+02
steps: 53500, lr: 5.47e-04, avg_loss: 3.51, run_time: 1.32e+02
steps: 54000, lr: 5.44e-04, avg_loss: 3.52, run_time: 1.02e+02
steps: 54500, lr: 5.42e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 55000, lr: 5.39e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 55500, lr: 5.37e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 56000, lr: 5.35e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 56500, lr: 5.32e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 57000, lr: 5.30e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 57500, lr: 5.28e-04, avg_loss: 3.52, run_time: 1.03e+02
steps: 58000, lr: 5.25e-04, avg_loss: 3.48, run_time: 1.33e+02
steps: 58500, lr: 5.23e-04, avg_loss: 3.50, run_time: 1.02e+02
steps: 59000, lr: 5.21e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 59500, lr: 5.19e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 60000, lr: 5.16e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 60500, lr: 5.14e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 61000, lr: 5.12e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 61500, lr: 5.10e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 62000, lr: 5.08e-04, avg_loss: 3.51, run_time: 1.02e+02
steps: 62500, lr: 5.06e-04, avg_loss: 3.50, run_time: 1.03e+02
steps: 63000, lr: 5.04e-04, avg_loss: 3.49, run_time: 1.31e+02
steps: 63500, lr: 5.02e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 64000, lr: 5.00e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 64500, lr: 4.98e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 65000, lr: 4.96e-04, avg_loss: 3.49, run_time: 1.03e+02
