steps: 54000, lr: 5.44e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 54500, lr: 5.42e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 55000, lr: 5.39e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 55500, lr: 5.37e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 56000, lr: 5.35e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 56500, lr: 5.32e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 57000, lr: 5.30e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 57500, lr: 5.28e-04, avg_loss: 3.39, run_time: 1.59e+02
steps: 58000, lr: 5.25e-04, avg_loss: 3.33, run_time: 2.77e+02
steps: 58500, lr: 5.23e-04, avg_loss: 3.38, run_time: 1.59e+02
steps: 59000, lr: 5.21e-04, avg_loss: 3.38, run_time: 1.59e+02
steps: 59500, lr: 5.19e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 60000, lr: 5.16e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 60500, lr: 5.14e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 61000, lr: 5.12e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 61500, lr: 5.10e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 62000, lr: 5.08e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 62500, lr: 5.06e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 63000, lr: 5.04e-04, avg_loss: 3.35, run_time: 2.03e+02
steps: 63500, lr: 5.02e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 64000, lr: 5.00e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 64500, lr: 4.98e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 65000, lr: 4.96e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 65500, lr: 4.94e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 66000, lr: 4.92e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 66500, lr: 4.91e-04, avg_loss: 3.36, run_time: 1.59e+02
steps: 67000, lr: 4.89e-04, avg_loss: 3.37, run_time: 1.59e+02
steps: 67500, lr: 4.87e-04, avg_loss: 3.36, run_time: 1.60e+02
steps: 68000, lr: 4.85e-04, avg_loss: 3.36, run_time: 2.04e+02
steps: 68500, lr: 4.83e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 69000, lr: 4.82e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 69500, lr: 4.80e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 70000, lr: 4.78e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 70500, lr: 4.76e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 71000, lr: 4.75e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 71500, lr: 4.73e-04, avg_loss: 3.35, run_time: 1.59e+02
steps: 72000, lr: 4.71e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 72500, lr: 4.70e-04, avg_loss: 3.33, run_time: 2.38e+02
