steps: 0, lr: 8.00e-04, avg_loss: 0.00e+00
steps: 22000, lr: 7.04e-04, avg_loss: 3.68, run_time: 4.02e-01
steps: 22500, lr: 7.20e-04, avg_loss: 3.66, run_time: 6.86e+02
steps: 22500, lr: 7.20e-04, avg_loss: 3.66, run_time: 4.29e-01
steps: 22500, lr: 7.20e-04, avg_loss: 3.66, run_time: 4.17e-01
steps: 23000, lr: 7.36e-04, avg_loss: 3.66, run_time: 6.68e+02
steps: 23000, lr: 7.36e-04, avg_loss: 3.66, run_time: 4.24e-01
steps: 23000, lr: 7.36e-04, avg_loss: 3.65, run_time: 4.14e-01
steps: 23500, lr: 7.52e-04, avg_loss: 3.66, run_time: 6.20e+02
steps: 23500, lr: 7.52e-04, avg_loss: 3.66, run_time: 4.65e-01
steps: 23500, lr: 7.52e-04, avg_loss: 3.66, run_time: 4.12e-01
steps: 24000, lr: 7.68e-04, avg_loss: 3.65, run_time: 6.97e+02
steps: 24000, lr: 7.68e-04, avg_loss: 3.65, run_time: 4.68e-01
steps: 24000, lr: 7.68e-04, avg_loss: 3.65, run_time: 4.07e-01
steps: 24500, lr: 7.84e-04, avg_loss: 3.63, run_time: 6.67e+02
steps: 24500, lr: 7.84e-04, avg_loss: 3.63, run_time: 4.50e-01
steps: 24500, lr: 7.84e-04, avg_loss: 3.63, run_time: 3.98e-01
steps: 25000, lr: 8.00e-04, avg_loss: 3.63, run_time: 6.20e+02
steps: 25000, lr: 8.00e-04, avg_loss: 3.63, run_time: 4.57e-01
steps: 25000, lr: 8.00e-04, avg_loss: 3.63, run_time: 3.96e-01
steps: 25500, lr: 7.92e-04, avg_loss: 3.63, run_time: 6.86e+02
steps: 25500, lr: 7.92e-04, avg_loss: 3.63, run_time: 4.59e-01
steps: 25500, lr: 7.92e-04, avg_loss: 3.63, run_time: 4.09e-01
steps: 26000, lr: 7.84e-04, avg_loss: 3.62, run_time: 6.76e+02
steps: 26000, lr: 7.84e-04, avg_loss: 3.62, run_time: 4.48e-01
steps: 26000, lr: 7.84e-04, avg_loss: 3.62, run_time: 4.06e-01
steps: 26500, lr: 7.77e-04, avg_loss: 3.61, run_time: 6.20e+02
steps: 26500, lr: 7.77e-04, avg_loss: 3.61, run_time: 4.54e-01
